"InterventionId","SubjectId","ParentSubjectId","SubjectName","SubjectLevel","SubjectType"
80,98,71,"Units of Measurement",2,"Topic"
80,144,32,"Basic Arithmetic",2,"Topic"
80,189,100,"Volume of Prisms",3,"Subtopic"
80,197,98,"Volume and Capacity Units",3,"Subtopic"
80,202,144,"Place Value",3,"Subtopic"
80,209,98,"Time",3,"Subtopic"
85,71,3,"Geometry and Measure",1,"Subject"
85,32,3,"Number",1,"Subject"
85,45,32,"Proportion",2,"Topic"
85,272,71,"Similarity and Congruency",2,"Topic"
85,90,272,"Length Scale Factors in Similar Shapes",3,"Subtopic"
85,243,45,"Direct Proportion",3,"Subtopic"
97,49,3,"Algebra",1,"Subject"
97,156,49,"Formula",2,"Topic"
97,154,49,"Solving Equations",2,"Topic"
97,62,49,"Writing and Simplifying Expressions",2,"Topic"
97,67,156,"Substitution into Formula",3,"Subtopic"
97,70,62,"Writing Expressions",3,"Subtopic"
97,649,154,"Function Machines",3,"Subtopic"
99,32,3,"Number",1,"Subject"
99,42,32,"Negative Numbers",2,"Topic"
99,211,42,"Adding and Subtracting Negative Numbers",3,"Subtopic"
100,49,3,"Algebra",1,"Subject"
100,61,49,"Sequences",2,"Topic"
100,171,61,"Linear Sequences (nth term)",3,"Subtopic"
109,32,3,"Number",1,"Subject"
109,46,32,"Ratio",2,"Topic"
109,240,46,"Simplifying and Equivalent Ratios",3,"Subtopic"
115,49,3,"Algebra",1,"Subject"
115,152,49,"Expanding Brackets",2,"Topic"
115,50,152,"Expanding Single Brackets",3,"Subtopic"
118,32,3,"Number",1,"Subject"
118,44,32,"Percentages",2,"Topic"
118,234,44,"Percentage Increase and Decrease",3,"Subtopic"
118,235,44,"Reverse Percentages (Original Amount)",3,"Subtopic"
122,71,3,"Geometry and Measure",1,"Subject"
122,74,71,"Angles",2,"Topic"
122,181,74,"Basic Angle Facts (straight line, opposite, around a point, etc)",3,"Subtopic"
143,32,3,"Number",1,"Subject"
143,144,32,"Basic Arithmetic",2,"Topic"
143,204,144,"Mental Multiplication and Division",3,"Subtopic"
143,206,144,"Written Subtraction",3,"Subtopic"
147,101,3,"Data and Statistics",1,"Subject"
147,342,101,"Data Representation",2,"Topic"
147,117,342,"Time Series and Line Graphs",3,"Subtopic"
154,32,3,"Number",1,"Subject"
154,141,32,"Rounding and Estimating",2,"Topic"
154,216,141,"Estimation",3,"Subtopic"
159,49,3,"Algebra",1,"Subject"
159,32,3,"Number",1,"Subject"
159,144,32,"Basic Arithmetic",2,"Topic"
159,62,49,"Writing and Simplifying Expressions",2,"Topic"
159,154,49,"Solving Equations",2,"Topic"
159,64,154,"Linear Equations",3,"Subtopic"
159,70,62,"Writing Expressions",3,"Subtopic"
159,203,144,"Mental Addition and Subtraction",3,"Subtopic"
162,32,3,"Number",1,"Subject"
162,49,3,"Algebra",1,"Subject"
162,71,3,"Geometry and Measure",1,"Subject"
162,156,49,"Formula",2,"Topic"
162,74,71,"Angles",2,"Topic"
162,62,49,"Writing and Simplifying Expressions",2,"Topic"
162,42,32,"Negative Numbers",2,"Topic"
162,182,74,"Angle Facts with Parallel Lines",3,"Subtopic"
162,181,74,"Basic Angle Facts (straight line, opposite, around a point, etc)",3,"Subtopic"
162,67,156,"Substitution into Formula",3,"Subtopic"
162,180,74,"Measuring Angles",3,"Subtopic"
162,70,62,"Writing Expressions",3,"Subtopic"
162,212,42,"Multiplying and Dividing Negative Numbers",3,"Subtopic"
172,32,3,"Number",1,"Subject"
172,144,32,"Basic Arithmetic",2,"Topic"
172,202,144,"Place Value",3,"Subtopic"
179,71,3,"Geometry and Measure",1,"Subject"
179,178,71,"Perimeter and Area",2,"Topic"
179,75,178,"Area of Simple Shapes",3,"Subtopic"
188,32,3,"Number",1,"Subject"
188,144,32,"Basic Arithmetic",2,"Topic"
188,33,144,"BIDMAS",3,"Subtopic"
201,32,3,"Number",1,"Subject"
201,39,32,"Fractions",2,"Topic"
201,229,39,"Converting Mixed Number and Improper Fractions",3,"Subtopic"
206,32,3,"Number",1,"Subject"
206,141,32,"Rounding and Estimating",2,"Topic"
206,214,141,"Rounding to Decimal Places",3,"Subtopic"
214,32,3,"Number",1,"Subject"
214,141,32,"Rounding and Estimating",2,"Topic"
214,213,141,"Rounding to the Nearest Whole (10, 100, etc)",3,"Subtopic"
244,32,3,"Number",1,"Subject"
244,141,32,"Rounding and Estimating",2,"Topic"
244,213,141,"Rounding to the Nearest Whole (10, 100, etc)",3,"Subtopic"
245,32,3,"Number",1,"Subject"
245,46,32,"Ratio",2,"Topic"
245,241,46,"Sharing in a Ratio",3,"Subtopic"
245,240,46,"Simplifying and Equivalent Ratios",3,"Subtopic"
247,32,3,"Number",1,"Subject"
247,141,32,"Rounding and Estimating",2,"Topic"
247,144,32,"Basic Arithmetic",2,"Topic"
247,202,144,"Place Value",3,"Subtopic"
247,213,141,"Rounding to the Nearest Whole (10, 100, etc)",3,"Subtopic"
247,216,141,"Estimation",3,"Subtopic"
250,32,3,"Number",1,"Subject"
250,36,32,"Decimals",2,"Topic"
250,39,32,"Fractions",2,"Topic"
250,231,39,"Multiplying Fractions",3,"Subtopic"
250,224,36,"Multiplying and Dividing with Decimals",3,"Subtopic"
255,71,3,"Geometry and Measure",1,"Subject"
255,174,71,"2D Names and Properties of Shapes",2,"Topic"
255,1213,174,"2D Names and Properties of Shapes-Others",3,"Subtopic"
255,84,174,"Properties of Polygons",3,"Subtopic"
258,49,3,"Algebra",1,"Subject"
258,158,49,"Other Graphs",2,"Topic"
258,58,158,"Real Life Graphs",3,"Subtopic"
272,32,3,"Number",1,"Subject"
272,141,32,"Rounding and Estimating",2,"Topic"
272,214,141,"Rounding to Decimal Places",3,"Subtopic"
275,32,3,"Number",1,"Subject"
275,144,32,"Basic Arithmetic",2,"Topic"
275,203,144,"Mental Addition and Subtraction",3,"Subtopic"
276,101,3,"Data and Statistics",1,"Subject"
276,338,101,"Data Processing",2,"Topic"
276,102,338,"Averages (mean, median, mode) from a List of Data",3,"Subtopic"
278,32,3,"Number",1,"Subject"
278,39,32,"Fractions",2,"Topic"
278,230,39,"Adding and Subtracting Fractions",3,"Subtopic"
282,101,3,"Data and Statistics",1,"Subject"
282,342,101,"Data Representation",2,"Topic"
282,109,342,"Pie Chart",3,"Subtopic"
286,49,3,"Algebra",1,"Subject"
286,154,49,"Solving Equations",2,"Topic"
286,65,154,"Quadratic Equations",3,"Subtopic"
287,49,3,"Algebra",1,"Subject"
287,152,49,"Expanding Brackets",2,"Topic"
287,50,152,"Expanding Single Brackets",3,"Subtopic"
288,32,3,"Number",1,"Subject"
288,39,32,"Fractions",2,"Topic"
288,230,39,"Adding and Subtracting Fractions",3,"Subtopic"
308,49,3,"Algebra",1,"Subject"
308,61,49,"Sequences",2,"Topic"
308,171,61,"Linear Sequences (nth term)",3,"Subtopic"
317,71,3,"Geometry and Measure",1,"Subject"
317,77,71,"Circles",2,"Topic"
317,186,77,"Area of a Circle",3,"Subtopic"
317,184,77,"Parts of a Circle",3,"Subtopic"
317,185,77,"Circumference",3,"Subtopic"
317,1178,77,"Circles-Others",3,"Subtopic"
395,32,3,"Number",1,"Subject"
395,44,32,"Percentages",2,"Topic"
395,236,44,"Repeated Percentages and Compound Interest",3,"Subtopic"
421,71,3,"Geometry and Measure",1,"Subject"
421,77,71,"Circles",2,"Topic"
421,184,77,"Parts of a Circle",3,"Subtopic"
421,185,77,"Circumference",3,"Subtopic"
421,187,77,"Sectors of a Circle",3,"Subtopic"
421,1178,77,"Circles-Others",3,"Subtopic"
423,32,3,"Number",1,"Subject"
423,44,32,"Percentages",2,"Topic"
423,39,32,"Fractions",2,"Topic"
423,226,39,"Equivalent Fractions",3,"Subtopic"
423,225,39,"Fractions of an Amount",3,"Subtopic"
423,233,44,"Percentages of an Amount",3,"Subtopic"
431,71,3,"Geometry and Measure",1,"Subject"
431,83,71,"Construction, Loci and Scale Drawing",2,"Topic"
431,77,71,"Circles",2,"Topic"
431,184,77,"Parts of a Circle",3,"Subtopic"
431,191,83,"Construct Triangle",3,"Subtopic"
432,49,3,"Algebra",1,"Subject"
432,154,49,"Solving Equations",2,"Topic"
432,64,154,"Linear Equations",3,"Subtopic"
436,32,3,"Number",1,"Subject"
436,71,3,"Geometry and Measure",1,"Subject"
436,98,71,"Units of Measurement",2,"Topic"
436,42,32,"Negative Numbers",2,"Topic"
436,210,42,"Ordering Negative Numbers",3,"Subtopic"
436,199,98,"Temperature units",3,"Subtopic"
440,71,3,"Geometry and Measure",1,"Subject"
440,271,71,"Pythagoras",2,"Topic"
440,89,271,"2D Pythagoras",3,"Subtopic"
443,101,3,"Data and Statistics",1,"Subject"
443,342,101,"Data Representation",2,"Topic"
443,109,342,"Pie Chart",3,"Subtopic"
463,32,3,"Number",1,"Subject"
463,144,32,"Basic Arithmetic",2,"Topic"
463,202,144,"Place Value",3,"Subtopic"
464,32,3,"Number",1,"Subject"
464,39,32,"Fractions",2,"Topic"
464,228,39,"Ordering Fractions",3,"Subtopic"
469,101,3,"Data and Statistics",1,"Subject"
469,338,101,"Data Processing",2,"Topic"
469,102,338,"Averages (mean, median, mode) from a List of Data",3,"Subtopic"
472,49,3,"Algebra",1,"Subject"
472,101,3,"Data and Statistics",1,"Subject"
472,32,3,"Number",1,"Subject"
472,62,49,"Writing and Simplifying Expressions",2,"Topic"
472,342,101,"Data Representation",2,"Topic"
472,338,101,"Data Processing",2,"Topic"
472,144,32,"Basic Arithmetic",2,"Topic"
472,339,338,"Range and Interquartile Range from a List of Data",3,"Subtopic"
472,252,62,"Multiplying Terms",3,"Subtopic"
472,106,342,"Block Graphs and Bar Charts",3,"Subtopic"
472,203,144,"Mental Addition and Subtraction",3,"Subtopic"
472,251,62,"Simplifying Expressions by Collecting Like Terms",3,"Subtopic"
477,49,3,"Algebra",1,"Subject"
477,152,49,"Expanding Brackets",2,"Topic"
477,50,152,"Expanding Single Brackets",3,"Subtopic"
478,71,3,"Geometry and Measure",1,"Subject"
478,98,71,"Units of Measurement",2,"Topic"
478,198,98,"Weight Units",3,"Subtopic"
489,71,3,"Geometry and Measure",1,"Subject"
489,74,71,"Angles",2,"Topic"
489,439,74,"Angles in Triangles",3,"Subtopic"
489,183,74,"Angles in Polygons",3,"Subtopic"
492,32,3,"Number",1,"Subject"
492,49,3,"Algebra",1,"Subject"
492,144,32,"Basic Arithmetic",2,"Topic"
492,62,49,"Writing and Simplifying Expressions",2,"Topic"
492,70,62,"Writing Expressions",3,"Subtopic"
492,204,144,"Mental Multiplication and Division",3,"Subtopic"
492,203,144,"Mental Addition and Subtraction",3,"Subtopic"
495,101,3,"Data and Statistics",1,"Subject"
495,342,101,"Data Representation",2,"Topic"
495,117,342,"Time Series and Line Graphs",3,"Subtopic"
497,71,3,"Geometry and Measure",1,"Subject"
497,74,71,"Angles",2,"Topic"
497,439,74,"Angles in Triangles",3,"Subtopic"
497,181,74,"Basic Angle Facts (straight line, opposite, around a point, etc)",3,"Subtopic"
497,183,74,"Angles in Polygons",3,"Subtopic"
499,32,3,"Number",1,"Subject"
499,46,32,"Ratio",2,"Topic"
499,241,46,"Sharing in a Ratio",3,"Subtopic"
499,334,46,"Writing Ratios",3,"Subtopic"
509,32,3,"Number",1,"Subject"
509,42,32,"Negative Numbers",2,"Topic"
509,210,42,"Ordering Negative Numbers",3,"Subtopic"
509,211,42,"Adding and Subtracting Negative Numbers",3,"Subtopic"
512,71,3,"Geometry and Measure",1,"Subject"
512,178,71,"Perimeter and Area",2,"Topic"
512,75,178,"Area of Simple Shapes",3,"Subtopic"
522,101,3,"Data and Statistics",1,"Subject"
522,342,101,"Data Representation",2,"Topic"
522,109,342,"Pie Chart",3,"Subtopic"
528,101,3,"Data and Statistics",1,"Subject"
528,113,101,"Data Collection",2,"Topic"
528,1976,113,"Frequency tables",3,"Subtopic"
539,71,3,"Geometry and Measure",1,"Subject"
539,74,71,"Angles",2,"Topic"
539,181,74,"Basic Angle Facts (straight line, opposite, around a point, etc)",3,"Subtopic"
544,49,3,"Algebra",1,"Subject"
544,62,49,"Writing and Simplifying Expressions",2,"Topic"
544,251,62,"Simplifying Expressions by Collecting Like Terms",3,"Subtopic"
547,32,3,"Number",1,"Subject"
547,49,3,"Algebra",1,"Subject"
547,156,49,"Formula",2,"Topic"
547,42,32,"Negative Numbers",2,"Topic"
547,35,32,"Calculator Use",2,"Topic"
547,67,156,"Substitution into Formula",3,"Subtopic"
547,212,42,"Multiplying and Dividing Negative Numbers",3,"Subtopic"
547,211,42,"Adding and Subtracting Negative Numbers",3,"Subtopic"
547,217,35,"Basic Calculator Use",3,"Subtopic"
552,49,3,"Algebra",1,"Subject"
552,154,49,"Solving Equations",2,"Topic"
552,64,154,"Linear Equations",3,"Subtopic"
555,101,3,"Data and Statistics",1,"Subject"
555,338,101,"Data Processing",2,"Topic"
555,102,338,"Averages (mean, median, mode) from a List of Data",3,"Subtopic"
558,101,3,"Data and Statistics",1,"Subject"
558,342,101,"Data Representation",2,"Topic"
558,338,101,"Data Processing",2,"Topic"
558,106,342,"Block Graphs and Bar Charts",3,"Subtopic"
558,340,338,"Averages and Range from Frequency Table",3,"Subtopic"
558,109,342,"Pie Chart",3,"Subtopic"
568,32,3,"Number",1,"Subject"
568,46,32,"Ratio",2,"Topic"
568,241,46,"Sharing in a Ratio",3,"Subtopic"
568,334,46,"Writing Ratios",3,"Subtopic"
573,32,3,"Number",1,"Subject"
573,144,32,"Basic Arithmetic",2,"Topic"
573,202,144,"Place Value",3,"Subtopic"
574,32,3,"Number",1,"Subject"
574,39,32,"Fractions",2,"Topic"
574,230,39,"Adding and Subtracting Fractions",3,"Subtopic"
576,101,3,"Data and Statistics",1,"Subject"
576,348,101,"Probability",2,"Topic"
576,350,348,"Tree Diagrams with Independent Events",3,"Subtopic"
580,32,3,"Number",1,"Subject"
580,101,3,"Data and Statistics",1,"Subject"
580,144,32,"Basic Arithmetic",2,"Topic"
580,338,101,"Data Processing",2,"Topic"
580,102,338,"Averages (mean, median, mode) from a List of Data",3,"Subtopic"
580,339,338,"Range and Interquartile Range from a List of Data",3,"Subtopic"
580,202,144,"Place Value",3,"Subtopic"
603,32,3,"Number",1,"Subject"
603,144,32,"Basic Arithmetic",2,"Topic"
603,36,32,"Decimals",2,"Topic"
603,42,32,"Negative Numbers",2,"Topic"
603,40,32,"Indices, Powers and Roots",2,"Topic"
603,211,42,"Adding and Subtracting Negative Numbers",3,"Subtopic"
603,245,40,"Squares, Cubes, etc",3,"Subtopic"
603,204,144,"Mental Multiplication and Division",3,"Subtopic"
603,224,36,"Multiplying and Dividing with Decimals",3,"Subtopic"
607,32,3,"Number",1,"Subject"
607,49,3,"Algebra",1,"Subject"
607,40,32,"Indices, Powers and Roots",2,"Topic"
607,144,32,"Basic Arithmetic",2,"Topic"
607,42,32,"Negative Numbers",2,"Topic"
607,154,49,"Solving Equations",2,"Topic"
607,64,154,"Linear Equations",3,"Subtopic"
607,246,40,"Square Roots, Cube Roots, etc",3,"Subtopic"
607,212,42,"Multiplying and Dividing Negative Numbers",3,"Subtopic"
607,33,144,"BIDMAS",3,"Subtopic"
617,49,3,"Algebra",1,"Subject"
617,156,49,"Formula",2,"Topic"
617,67,156,"Substitution into Formula",3,"Subtopic"
617,157,156,"Writing Formula",3,"Subtopic"
636,71,3,"Geometry and Measure",1,"Subject"
636,98,71,"Units of Measurement",2,"Topic"
636,198,98,"Weight Units",3,"Subtopic"
637,49,3,"Algebra",1,"Subject"
637,152,49,"Expanding Brackets",2,"Topic"
637,50,152,"Expanding Single Brackets",3,"Subtopic"
657,49,3,"Algebra",1,"Subject"
657,62,49,"Writing and Simplifying Expressions",2,"Topic"
657,70,62,"Writing Expressions",3,"Subtopic"
658,32,3,"Number",1,"Subject"
658,36,32,"Decimals",2,"Topic"
658,144,32,"Basic Arithmetic",2,"Topic"
658,33,144,"BIDMAS",3,"Subtopic"
658,224,36,"Multiplying and Dividing with Decimals",3,"Subtopic"
663,32,3,"Number",1,"Subject"
663,39,32,"Fractions",2,"Topic"
663,230,39,"Adding and Subtracting Fractions",3,"Subtopic"
664,32,3,"Number",1,"Subject"
664,39,32,"Fractions",2,"Topic"
664,230,39,"Adding and Subtracting Fractions",3,"Subtopic"
664,228,39,"Ordering Fractions",3,"Subtopic"
668,32,3,"Number",1,"Subject"
668,39,32,"Fractions",2,"Topic"
668,232,39,"Dividing Fractions",3,"Subtopic"
668,231,39,"Multiplying Fractions",3,"Subtopic"
671,49,3,"Algebra",1,"Subject"
671,71,3,"Geometry and Measure",1,"Subject"
671,158,49,"Other Graphs",2,"Topic"
671,79,71,"Compound Measures",2,"Topic"
671,269,79,"Speed, Distance, Time",3,"Subtopic"
671,58,158,"Real Life Graphs",3,"Subtopic"
672,101,3,"Data and Statistics",1,"Subject"
672,49,3,"Algebra",1,"Subject"
672,71,3,"Geometry and Measure",1,"Subject"
672,100,71,"Volume and Surface Area",2,"Topic"
672,54,49,"Straight Line Graphs",2,"Topic"
672,158,49,"Other Graphs",2,"Topic"
672,338,101,"Data Processing",2,"Topic"
672,261,54,"Gradient as change in y over change in x",3,"Subtopic"
672,58,158,"Real Life Graphs",3,"Subtopic"
672,1649,100,"Volume of Non-Prisms",3,"Subtopic"
672,103,338,"Averages and Range from Grouped Data",3,"Subtopic"
672,1648,100,"Surface Area of Non-Prisms",3,"Subtopic"
681,49,3,"Algebra",1,"Subject"
681,59,49,"Inequalities",2,"Topic"
681,167,59,"Graphing Linear Inequalities (Shading Regions)",3,"Subtopic"
684,32,3,"Number",1,"Subject"
684,46,32,"Ratio",2,"Topic"
684,334,46,"Writing Ratios",3,"Subtopic"
684,241,46,"Sharing in a Ratio",3,"Subtopic"
686,32,3,"Number",1,"Subject"
686,46,32,"Ratio",2,"Topic"
686,240,46,"Simplifying and Equivalent Ratios",3,"Subtopic"
689,49,3,"Algebra",1,"Subject"
689,154,49,"Solving Equations",2,"Topic"
689,64,154,"Linear Equations",3,"Subtopic"
691,49,3,"Algebra",1,"Subject"
691,154,49,"Solving Equations",2,"Topic"
691,649,154,"Function Machines",3,"Subtopic"
699,32,3,"Number",1,"Subject"
699,45,32,"Proportion",2,"Topic"
699,243,45,"Direct Proportion",3,"Subtopic"
706,49,3,"Algebra",1,"Subject"
706,152,49,"Expanding Brackets",2,"Topic"
706,50,152,"Expanding Single Brackets",3,"Subtopic"
707,32,3,"Number",1,"Subject"
707,144,32,"Basic Arithmetic",2,"Topic"
707,33,144,"BIDMAS",3,"Subtopic"
709,32,3,"Number",1,"Subject"
709,141,32,"Rounding and Estimating",2,"Topic"
709,216,141,"Estimation",3,"Subtopic"
710,101,3,"Data and Statistics",1,"Subject"
710,32,3,"Number",1,"Subject"
710,38,32,"Fractions, Decimals and Percentage Equivalence",2,"Topic"
710,36,32,"Decimals",2,"Topic"
710,44,32,"Percentages",2,"Topic"
710,348,101,"Probability",2,"Topic"
710,111,348,"Probability of Single Events",3,"Subtopic"
710,237,38,"Converting between Fractions and Decimals",3,"Subtopic"
710,233,44,"Percentages of an Amount",3,"Subtopic"
710,222,36,"Ordering Decimals",3,"Subtopic"
716,101,3,"Data and Statistics",1,"Subject"
716,32,3,"Number",1,"Subject"
716,338,101,"Data Processing",2,"Topic"
716,144,32,"Basic Arithmetic",2,"Topic"
716,339,338,"Range and Interquartile Range from a List of Data",3,"Subtopic"
716,102,338,"Averages (mean, median, mode) from a List of Data",3,"Subtopic"
716,202,144,"Place Value",3,"Subtopic"
720,49,3,"Algebra",1,"Subject"
720,154,49,"Solving Equations",2,"Topic"
720,63,154,"Simultaneous Equations",3,"Subtopic"
721,49,3,"Algebra",1,"Subject"
721,54,49,"Straight Line Graphs",2,"Topic"
721,257,54,"Plotting Lines from Tables of Values",3,"Subtopic"
721,258,54,"Horizontal and Vertical Lines",3,"Subtopic"
721,260,54,"Finding the Gradient and Intercept of a Line from the Equation",3,"Subtopic"
721,261,54,"Gradient as change in y over change in x",3,"Subtopic"
730,32,3,"Number",1,"Subject"
730,46,32,"Ratio",2,"Topic"
730,334,46,"Writing Ratios",3,"Subtopic"
730,241,46,"Sharing in a Ratio",3,"Subtopic"
735,32,3,"Number",1,"Subject"
735,44,32,"Percentages",2,"Topic"
735,236,44,"Repeated Percentages and Compound Interest",3,"Subtopic"
735,234,44,"Percentage Increase and Decrease",3,"Subtopic"
737,32,3,"Number",1,"Subject"
737,45,32,"Proportion",2,"Topic"
737,37,32,"Factors, Multiples and Primes",2,"Topic"
737,144,32,"Basic Arithmetic",2,"Topic"
737,42,32,"Negative Numbers",2,"Topic"
737,207,144,"Written Multiplication",3,"Subtopic"
737,211,42,"Adding and Subtracting Negative Numbers",3,"Subtopic"
737,210,42,"Ordering Negative Numbers",3,"Subtopic"
737,220,37,"Multiples and Lowest Common Multiple",3,"Subtopic"
737,243,45,"Direct Proportion",3,"Subtopic"
739,71,3,"Geometry and Measure",1,"Subject"
739,79,71,"Compound Measures",2,"Topic"
739,270,79,"Density",3,"Subtopic"
741,32,3,"Number",1,"Subject"
741,37,32,"Factors, Multiples and Primes",2,"Topic"
741,40,32,"Indices, Powers and Roots",2,"Topic"
741,219,37,"Factors and Highest Common Factor",3,"Subtopic"
741,221,37,"Prime Numbers and Prime Factors",3,"Subtopic"
741,220,37,"Multiples and Lowest Common Multiple",3,"Subtopic"
741,245,40,"Squares, Cubes, etc",3,"Subtopic"
747,32,3,"Number",1,"Subject"
747,144,32,"Basic Arithmetic",2,"Topic"
747,204,144,"Mental Multiplication and Division",3,"Subtopic"
754,32,3,"Number",1,"Subject"
754,36,32,"Decimals",2,"Topic"
754,144,32,"Basic Arithmetic",2,"Topic"
754,33,144,"BIDMAS",3,"Subtopic"
754,224,36,"Multiplying and Dividing with Decimals",3,"Subtopic"
761,71,3,"Geometry and Measure",1,"Subject"
761,98,71,"Units of Measurement",2,"Topic"
761,178,71,"Perimeter and Area",2,"Topic"
761,86,178,"Perimeter",3,"Subtopic"
761,197,98,"Volume and Capacity Units",3,"Subtopic"
772,32,3,"Number",1,"Subject"
772,141,32,"Rounding and Estimating",2,"Topic"
772,214,141,"Rounding to Decimal Places",3,"Subtopic"
776,71,3,"Geometry and Measure",1,"Subject"
776,74,71,"Angles",2,"Topic"
776,181,74,"Basic Angle Facts (straight line, opposite, around a point, etc)",3,"Subtopic"
785,32,3,"Number",1,"Subject"
785,38,32,"Fractions, Decimals and Percentage Equivalence",2,"Topic"
785,239,38,"Converting between Decimals and Percentages",3,"Subtopic"
785,238,38,"Converting between Fractions and Percentages",3,"Subtopic"
785,237,38,"Converting between Fractions and Decimals",3,"Subtopic"
795,32,3,"Number",1,"Subject"
795,101,3,"Data and Statistics",1,"Subject"
795,342,101,"Data Representation",2,"Topic"
795,38,32,"Fractions, Decimals and Percentage Equivalence",2,"Topic"
795,39,32,"Fractions",2,"Topic"
795,239,38,"Converting between Decimals and Percentages",3,"Subtopic"
795,109,342,"Pie Chart",3,"Subtopic"
795,226,39,"Equivalent Fractions",3,"Subtopic"
797,32,3,"Number",1,"Subject"
797,144,32,"Basic Arithmetic",2,"Topic"
797,202,144,"Place Value",3,"Subtopic"
798,49,3,"Algebra",1,"Subject"
798,61,49,"Sequences",2,"Topic"
798,1173,61,"Sequences-Others",3,"Subtopic"
798,171,61,"Linear Sequences (nth term)",3,"Subtopic"
810,32,3,"Number",1,"Subject"
810,39,32,"Fractions",2,"Topic"
810,228,39,"Ordering Fractions",3,"Subtopic"
813,32,3,"Number",1,"Subject"
813,44,32,"Percentages",2,"Topic"
813,235,44,"Reverse Percentages (Original Amount)",3,"Subtopic"
817,32,3,"Number",1,"Subject"
817,38,32,"Fractions, Decimals and Percentage Equivalence",2,"Topic"
817,237,38,"Converting between Fractions and Decimals",3,"Subtopic"
817,239,38,"Converting between Decimals and Percentages",3,"Subtopic"
817,238,38,"Converting between Fractions and Percentages",3,"Subtopic"
819,49,3,"Algebra",1,"Subject"
819,32,3,"Number",1,"Subject"
819,71,3,"Geometry and Measure",1,"Subject"
819,174,71,"2D Names and Properties of Shapes",2,"Topic"
819,74,71,"Angles",2,"Topic"
819,83,71,"Construction, Loci and Scale Drawing",2,"Topic"
819,141,32,"Rounding and Estimating",2,"Topic"
819,154,49,"Solving Equations",2,"Topic"
819,88,174,"Properties of Quadrilaterals",3,"Subtopic"
819,190,83,"Construct Angle",3,"Subtopic"
819,439,74,"Angles in Triangles",3,"Subtopic"
819,64,154,"Linear Equations",3,"Subtopic"
819,213,141,"Rounding to the Nearest Whole (10, 100, etc)",3,"Subtopic"
826,32,3,"Number",1,"Subject"
826,49,3,"Algebra",1,"Subject"
826,62,49,"Writing and Simplifying Expressions",2,"Topic"
826,39,32,"Fractions",2,"Topic"
826,154,49,"Solving Equations",2,"Topic"
826,226,39,"Equivalent Fractions",3,"Subtopic"
826,64,154,"Linear Equations",3,"Subtopic"
826,251,62,"Simplifying Expressions by Collecting Like Terms",3,"Subtopic"
828,32,3,"Number",1,"Subject"
828,39,32,"Fractions",2,"Topic"
828,232,39,"Dividing Fractions",3,"Subtopic"
828,231,39,"Multiplying Fractions",3,"Subtopic"
832,49,3,"Algebra",1,"Subject"
832,81,49,"Co-ordinates",2,"Topic"
832,410,81,"Distance Between Two Co-ordinates",3,"Subtopic"
