"QuestionId_DQ","InterventionId","MetaDataId","Text","Sequence","MetaDataTagId","Label"
143355,118,32592,"Lina buys a painting for \( £ 80 \) and sells it for \( £ 140 \).
What percentage profit is this?",1,1,"Question Text"
143355,118,32593,"\( 43 \% \)",2,3,"Answer A Text"
143355,118,32594,"\( 60 \% \)",3,5,"Answer B Text"
143355,118,32595,"\( 33 \% \)",4,7,"Answer C Text"
143355,118,32596,"\( 75 \% \)",5,9,"Answer D Text"
76840,122,41454,"Image of four angles meeting at a point. One angle is marked with the right-angle symbol, one is 50 degrees, one is 170 degrees and the last one is marked with a square.",1,2,"Question Image"
76840,122,41455,"Angle \( \square=50^{\circ} \) because",2,1,"Question Text"
76840,122,41456,"Angles at a point sum to \( 360^{\circ} \)",3,3,"Answer A Text"
76840,122,41457,"Adjacent angles are equal",4,5,"Answer B Text"
76840,122,41458,"Angles on a straight line sum to \( 180^{\circ} \)",5,7,"Answer C Text"
76840,122,41459,"Vertically opposite angles are equal",6,9,"Answer D Text"
77590,143,5334,"At the start of the day, there was \( £ 1,578 \) in the till. \( £ 6,537 \) was taken and \( £ 3,485 \) was handed out. How much money was left?",1,1,"Question Text"
77590,143,5335,"\( £ 11,660 \)",2,3,"Answer A Text"
77590,143,5336,"\( £ 1,474 \)",3,5,"Answer B Text"
77590,143,5337,"\( £ 4,630 \)",4,7,"Answer C Text"
77590,143,5338,"\( £ 3,052 \)",5,9,"Answer D Text"
79107,147,14502,"How many months have an average temperature above 23⁰C ?",1,1,"Question Text"
79107,147,14503,"A line graph with title ""Monthly Average temperatures for Corfu, Greece. (⁰C)"". 
The x-axis is labelled with the first letter of every month of the year and is titled ""Months"". 
The y-axis is titled ""Average temperature (⁰C)"" and the scale is labelled from 18 to 34 in steps of 2. The following points are plotted and joined together: (J, 18), (F, 20), (M, 21), (A, 22), (M, 23), (J, 25), (J, 29), (A, 32), (S, 27), (O, 22), (N, 20), (D, 18).",2,2,"Question Image"
79107,147,14504,"\( 7 \)",3,3,"Answer A Text"
79107,147,14505,"\( 4 \)",4,5,"Answer B Text"
79107,147,14506,"\( 5 \)",5,7,"Answer C Text"
79107,147,14507,"\( 8 \)",6,9,"Answer D Text"
130053,154,37392,"Which is the best estimate for \( (4.2)^{2} \) ?",1,1,"Question Text"
130053,154,37393,"\( 25 \)",2,3,"Answer A Text"
130053,154,37394,"\( 16 \)",3,5,"Answer B Text"
130053,154,37395,"\( 8 \)",4,7,"Answer C Text"
130053,154,37396,"\( 10 \)",5,9,"Answer D Text"
131778,159,4953,"Max and Lily are discussing identities
Max says this is an identity: \( 2 x+1 \equiv 3 \)
Lily says this is an identity: \( 2 x+x \equiv 3 x \)
Who is correct?",1,1,"Question Text"
131778,159,4954,"Only
Max",2,3,"Answer A Text"
131778,159,4955,"Only Lily",3,5,"Answer B Text"
131778,159,4956,"Both Max and Lily",4,7,"Answer C Text"
131778,159,4957,"Neither is correct",5,9,"Answer D Text"
91621,162,2829,"Jack and Lily are arguing about the result of this Function Machine:
Jack says the output is: \( 3 n-12 \)
Lily says the output is: \( 3(n-4) \)
Who is correct?",1,1,"Question Text"
91621,162,2830,"A function machine with input n and operations subtract 4, multiply by 3",2,2,"Question Image"
91621,162,2831,"Only Jack",3,3,"Answer A Text"
91621,162,2832,"Only
Lily",4,5,"Answer B Text"
91621,162,2833,"Both Jack and Lily",5,7,"Answer C Text"
91621,162,2834,"Neither is correct",6,9,"Answer D Text"
129990,172,37161,"What number is \( 10 \) less than \( 18,703 \) ?",1,1,"Question Text"
129990,172,37162,"\( 18,603 \)",2,3,"Answer A Text"
129990,172,37163,"\( 18,713 \)",3,5,"Answer B Text"
129990,172,37164,"\( 1870.3 \)",4,7,"Answer C Text"
129990,172,37165,"\( 18,693 \)",5,9,"Answer D Text"
98488,179,5451,"Which of the following triangles does not have the same area as the others?",1,1,"Question Text"
98488,179,5452,"A right angled triangle with base 4 and height 6",2,4,"Answer A Image"
98488,179,5453,"A scalene triangle with base 3, perpendicular height 6, and slanted height 8",3,6,"Answer B Image"
98488,179,5454,"An isosceles triangle with base 8, other sides 5, and perpendicular height 3",4,8,"Answer C Image"
98488,179,5455,"They all have the same area",5,9,"Answer D Text"
134802,188,37079,"Jake and Lisa are discussing the order of operations
Jake says: \( \frac{1}{2}+\frac{1}{3} \times \frac{1}{4} \equiv\left(\frac{1}{2}+\frac{1}{3}\right) \times \frac{1}{4} \)
Lisa says: \( \frac{1}{2}+\frac{1}{3} \times \frac{1}{4} \equiv \frac{1}{2}+\left(\frac{1}{3} \times \frac{1}{4}\right) \)
Who is correct?",1,1,"Question Text"
134802,188,37080,"Only
Jake",2,3,"Answer A Text"
134802,188,37081,"Only
Lisa",3,5,"Answer B Text"
134802,188,37082,"Both Jake and Lisa",4,7,"Answer C Text"
134802,188,37083,"Neither is correct",5,9,"Answer D Text"
103831,201,40196,"What mixed number fraction is represented below?",1,1,"Question Text"
103831,201,40197,"Four bars, each split into six equal parts. In three of the shapes, all six parts are shaded. In the fourth shape, five out of six parts are shaded.",2,2,"Question Image"
103831,201,40198,"\( 2 \frac{3}{6} \)",3,3,"Answer A Text"
103831,201,40199,"\( 3 \frac{5}{6} \)",4,5,"Answer B Text"
103831,201,40200,"\( \frac{23}{6} \)",5,7,"Answer C Text"
103831,201,40201,"\( 4 \frac{5}{6} \)",6,9,"Answer D Text"
130248,206,31804,"Round \( 7.503 \) to the nearest whole number",1,1,"Question Text"
130248,206,31805,"\( 6 \)",2,3,"Answer A Text"
130248,206,31806,"\( 7 \)",3,5,"Answer B Text"
130248,206,31807,"\( 7.5 \)",4,7,"Answer C Text"
130248,206,31808,"\( 8 \)",5,9,"Answer D Text"
129995,214,37181,"What is \( 356,958 \) rounded to the nearest \( 100 \) ?",1,1,"Question Text"
129995,214,37182,"\( 356,900 \)",2,3,"Answer A Text"
129995,214,37183,"\( 356,960 \)",3,5,"Answer B Text"
129995,214,37184,"\( 400,000 \)",4,7,"Answer C Text"
129995,214,37185,"\( 357,000 \)",5,9,"Answer D Text"
129994,244,37176,"What is \( 242,395 \) rounded to the nearest \( 10 ? \)",1,1,"Question Text"
129994,244,37177,"\( 242,390 \)",2,3,"Answer A Text"
129994,244,37178,"\( 242,000 \)",3,5,"Answer B Text"
129994,244,37179,"\( 242,400 \)",4,7,"Answer C Text"
129994,244,37180,"\( 240,000 \)",5,9,"Answer D Text"
104629,245,39349,"Lila and Nolan share some sweets in the ratio \( 6: 15 \)

Which of the following ratios is not equivalent to this?",1,1,"Question Text"
104629,245,39350,"\( 18: 45 \)",2,3,"Answer A Text"
104629,245,39351,"\( 14: 35 \)",3,5,"Answer B Text"
104629,245,39352,"\( 9: 18 \)",4,7,"Answer C Text"
104629,245,39353,"\( 2: 5 \)",5,9,"Answer D Text"
130049,247,4858,"Which number line shows a good estimate for the position of the number shown?",1,1,"Question Text"
130049,247,4859,"A number line from 0 to 10000 with the value 857 incorrectly labelled, with an arrow, between the midpoint and 10000",2,4,"Answer A Image"
130049,247,4860,"A number line from 0 to 1000 with the value 499 incorrectly labelled, with an arrow, just after the midpoint",3,6,"Answer B Image"
130049,247,4861,"A number line from 1000 to 2000 with the value 1250 correctly labelled, with an arrow, between 1000 and the midpoint",4,8,"Answer C Image"
130049,247,4862,"A number line from 0 to 10000 with the value 8967 incorrectly labelled, with an arrow, after the midpoint",5,10,"Answer D Image"
100999,250,3683,"\( \frac{2}{7} \times 3=3 \div K \times L \)",1,1,"Question Text"
100999,250,3684,"\( \begin{array}{l}K=7 \\ L=2\end{array} \)",2,3,"Answer A Text"
100999,250,3685,"\( \begin{array}{l}K=2 \\ L=7\end{array} \)",3,5,"Answer B Text"
100999,250,3686,"\( \begin{array}{l}K=7 \\ L=7\end{array} \)",4,7,"Answer C Text"
100999,250,3687,"Not possible",5,9,"Answer D Text"
129099,255,16412,"Ben and Maria are discussing regular polygons.",1,1,"Question Text"
129099,255,16413,"Ben says this is a regular polygon",2,1,"Question Text"
129099,255,16414,"A triangle with 3 equal sides and 3 equal angles",3,2,"Question Image"
129099,255,16415,"Maria says this is a regular polygon",4,1,"Question Text"
129099,255,16416,"A parallelogram with 2 pairs of parallel sides marked",5,2,"Question Image"
129099,255,16417,"Who is correct?",6,1,"Question Text"
129099,255,16418,"Only Ben",7,3,"Answer A Text"
129099,255,16419,"Only Maria",8,5,"Answer B Text"
129099,255,16420,"Both Ben and Maria",9,7,"Answer C Text"
129099,255,16421,"Neither is correct",10,9,"Answer D Text"
131721,258,30014,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of?",1,1,"Question Text"
131721,258,30015,"A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.",2,2,"Question Image"
131721,258,30016,"A cylinder sitting on one of its circular faces.",3,4,"Answer A Image"
131721,258,30017,"A wide cylinder with a narrow cylinder on top.",4,6,"Answer B Image"
131721,258,30018,"A narrow cylinder with a wide cylinder on top.",5,8,"Answer C Image"
131721,258,30019,"A shape that looks like a beaker. It has a circular base, with sloped edges up to a larger circular face at the top.",6,10,"Answer D Image"
104614,272,13655,"Nate and Natalie are arguing about rounding 
Nate says \( \mathbf{5 . 4 5 9 8} \) rounded to \( 1 \) decimal place is \( \mathbf{5 . 5} \) 
Natalie says \( \mathbf{5 . 4 5 9 8} \) rounded to \( 2 \) decimal places is \( \mathbf{5 . 4 6} \) 
Who is correct?",1,1,"Question Text"
104614,272,13656,"Only Nate",2,3,"Answer A Text"
104614,272,13657,"Only
Natalie",3,5,"Answer B Text"
104614,272,13658,"Both Nate and Natalie",4,7,"Answer C Text"
104614,272,13659,"Neither is correct",5,9,"Answer D Text"
101869,275,36379,"\( 204-36= \)",1,1,"Question Text"
101869,275,36380,"\( 156 \)",2,3,"Answer A Text"
101869,275,36381,"\( 178 \)",3,5,"Answer B Text"
101869,275,36382,"\( 240 \)",4,7,"Answer C Text"
101869,275,36383,"\( 168 \)",5,9,"Answer D Text"
107852,276,11980,"The mean of the following numbers is \( 4 \), what is the missing number?
\[
2, ___ , 3,8,6
\]",1,1,"Question Text"
107852,276,11981,"\( 1 \)",2,3,"Answer A Text"
107852,276,11982,"\( 3 \)",3,5,"Answer B Text"
107852,276,11983,"\( 4 \)",4,7,"Answer C Text"
107852,276,11984,"Need more information",5,9,"Answer D Text"
156974,278,69032,"\( 3 \frac{3}{7}+1 \frac{5}{7}= \)",1,1,"Question Text"
156974,278,69033,"\( 5 \frac{1}{7} \)",2,3,"Answer A Text"
156974,278,69034,"\( 3 \frac{15}{49} \)",3,5,"Answer B Text"
156974,278,69035,"\( 4 \frac{8}{14} \)",4,7,"Answer C Text"
156974,278,69036,"\( 4 \frac{1}{7} \)",5,9,"Answer D Text"
76888,282,11028,"This pie chart shows how the employees of a company travel to work.

Which of the following can not be found from this pie chart?",1,1,"Question Text"
76888,282,11029,"A pie chart showing four modes of transport - 10% train, 40% car, 30% bicycle, 20% bus",2,2,"Question Image"
76888,282,11030,"The angle of each of the sector",3,3,"Answer A Text"
76888,282,11031,"The modal form of transport",4,5,"Answer B Text"
76888,282,11032,"The fraction who take each form of transport",5,7,"Answer C Text"
76888,282,11033,"The mean form of transport",6,9,"Answer D Text"
106720,286,27631,"Mariana is trying to solve the equation below.

Here are her steps.

Which steps, if any, are correct?",1,1,"Question Text"
106720,286,27632,"\(
p^{2}+64=0
\)

Step \( 1 \quad(p+8)(p+8)=0 \)

Step \( 2 \quad p=8 \)",2,1,"Question Text"
106720,286,27633,"Only step \( 1 \)",3,3,"Answer A Text"
106720,286,27634,"Only step \( 2 \)",4,5,"Answer B Text"
106720,286,27635,"Both steps are correct",5,7,"Answer C Text"
106720,286,27636,"Both steps are incorrect",6,9,"Answer D Text"
105520,287,1388,"Liam and Emma are arguing about expanding single brackets.
Liam says \( -3(1-2 p) \equiv-3+6 p \)
Emma says \( -3(1-2 p) \equiv 6 p-3 \)
Who is correct?",1,1,"Question Text"
105520,287,1389,"Only Liam",2,3,"Answer A Text"
105520,287,1390,"Only Emma",3,5,"Answer B Text"
105520,287,1391,"Both Liam and Emma",4,7,"Answer C Text"
105520,287,1392,"Neither is correct",5,9,"Answer D Text"
101075,288,6114,"Work out:",1,1,"Question Text"
101075,288,6115,"\( \frac{5}{7}-\frac{1}{4} \)",2,1,"Question Text"
101075,288,6116,"Give your answer in the simplest form.",3,1,"Question Text"
101075,288,6117,"\( \frac{27}{28} \)",4,3,"Answer A Text"
101075,288,6118,"\( \frac{4}{3} \)",5,5,"Answer B Text"
101075,288,6119,"\( \frac{13}{28} \)",6,7,"Answer C Text"
101075,288,6120,"\( \frac{1}{7} \)",7,9,"Answer D Text"
147295,308,19958,"An image with 5 boxes. The first box contains the number 108, the second is empty, the third has a gold star, the fourth has the number 3 in it and the final box is empty.",1,2,"Question Image"
147295,308,19959,"This is a linear sequence

What should replace the star?",2,1,"Question Text"
147295,308,19960,"\( 35 \)",3,3,"Answer A Text"
147295,308,19961,"\( 102 \)",4,5,"Answer B Text"
147295,308,19962,"\( 38 \)",5,7,"Answer C Text"
147295,308,19963,"\( 73 \)",6,9,"Answer D Text"
109754,317,45184,"What is the circumference of this circle in terms of \( \pi \) ?",1,1,"Question Text"
109754,317,45185,"A circle with an 8 cm straight line drawn from one side to the other through the centre of the circle.",2,2,"Question Image"
109754,317,45186,"\( 4 \pi\ \mathrm{cm} \)",3,3,"Answer A Text"
109754,317,45187,"\( 8 \pi\ \mathrm{cm} \)",4,5,"Answer B Text"
109754,317,45188,"\( 16 \pi\ \mathrm{cm} \)",5,7,"Answer C Text"
109754,317,45189,"\( 64 \pi\ \mathrm{cm} \)",6,9,"Answer D Text"
135052,395,34835,"Liam buys an investment product for \( £ p \) that pays a simple interest rate of \( q \% \) per annum.

Which of the following formulae would calculate the total interest \((I)\) Liam receives after \( n \) years?",1,1,"Question Text"
135052,395,34836,"\( I=\left(p \times \frac{q}{100}\right)+n \)",2,3,"Answer A Text"
135052,395,34837,"\( I=\left(p \times \frac{q}{100}\right) \times n \)",3,5,"Answer B Text"
135052,395,34838,"\( I=p \times\left(1+\frac{q}{100}\right)^{n} \)",4,7,"Answer C Text"
135052,395,34839,"\( I=\left( p \times q \right) \times n \)",5,9,"Answer D Text"
130192,421,10128,"Which of the following diagrams shows the radius of a circle?",1,1,"Question Text"
130192,421,10129,"Circle with a line from the centre to the edge",2,4,"Answer A Image"
130192,421,10130,"Circle with a line across from edge to edge, passing through the centre",3,6,"Answer B Image"
130192,421,10131,"Circle with a line below it, touching the circle in one place",4,8,"Answer C Image"
130192,421,10132,"Circle with a line across from edge to edge, not passing through the centre",5,10,"Answer D Image"
131357,423,31849,"What percentage of this shape is shaded?",1,1,"Question Text"
131357,423,31850,"A bar split into 5 equal parts. 3 parts are shaded.",2,2,"Question Image"
131357,423,31851,"\( 30 \% \)",3,3,"Answer A Text"
131357,423,31852,"\( 60 \% \)",4,5,"Answer B Text"
131357,423,31853,"\( 3 \% \)",5,7,"Answer C Text"
131357,423,31854,"\( 55 \% \)",6,9,"Answer D Text"
95518,431,3320,"What is the length of the side marked \( k \) ?",1,1,"Question Text"
95518,431,3321,"Two intersecting circles, drawn on square paper, using a compass, forming a triangle with one side labelled with a k and a scale showing that one side of each square is 1cm",2,2,"Question Image"
95518,431,3322,"\( 2 \mathrm{~cm} \)",3,3,"Answer A Text"
95518,431,3323,"\( 2.5 \mathrm{~cm} \)",4,5,"Answer B Text"
95518,431,3324,"\( 3 \mathrm{~cm} \)",5,7,"Answer C Text"
95518,431,3325,"Not enough information",6,9,"Answer D Text"
131677,432,20078,"Leo and Lisa are discussing how to solve:
\(
 \frac{3 x}{2} + 1 =5 
\)

Leo says a correct next line of working could be: \( \frac{3 x}{2}=4 \)

Lisa says a correct next line of working could be: \( 3 x+1=10 \)

Who is correct?",1,1,"Question Text"
131677,432,20079,"Only Leo",2,3,"Answer A Text"
131677,432,20080,"Only Lisa",3,5,"Answer B Text"
131677,432,20081,"Both Leo and Lisa",4,7,"Answer C Text"
131677,432,20082,"Neither is correct",5,9,"Answer D Text"
75909,436,13219,"What is the value of B?",1,1,"Question Text"
75909,436,13220,"A vertical number-line with 7 horizontal, equally spaced, dashes representing the position of numbers. ""-10"" next to the bottom dash and ""2"" next to the top dash are the only numbers marked on the line. An arrow, labelled ""B"" is pointing at the middle dash. ",2,2,"Question Image"
75909,436,13221,"\( -7 \)",3,3,"Answer A Text"
75909,436,13222,"\( -1 \)",4,5,"Answer B Text"
75909,436,13223,"\( -4 \)",5,7,"Answer C Text"
75909,436,13224,"\( 8 \)",6,9,"Answer D Text"
79633,440,42936,"A right-angled tringle has sides a, b, and \( c \) as shown.

Choose the formula for finding side a.",1,1,"Question Text"
79633,440,42937,"Right-angled triangle with height a, base b and hypotenuse c.",2,2,"Question Image"
79633,440,42938,"\( a=c-b \)",3,3,"Answer A Text"
79633,440,42939,"\( a^{2}=b^{2}+c^{2} \)",4,5,"Answer B Text"
79633,440,42940,"\( a^{2}=b^{2}-c^{2} \)",5,7,"Answer C Text"
79633,440,42941,"\( a^{2}=c^{2}-b^{2} \)",6,9,"Answer D Text"
76894,443,2494," \(120 \) blue sheep and \( 90 \) yellow sheep are tested for a disease.
The pie charts show the results for each type of sheep.

From the tested sheep, are there more blue or yellow with the disease? By how many?",1,1,"Question Text"
76894,443,2495,"diseased
\[
90^{\circ}
\]",2,2,"Question Image"
76894,443,2496,"A pie chart showing a major sector coloured white showing 220 degrees and a minor sector coloured yellow containing the word diseased. ",3,2,"Question Image"
76894,443,2497,"More blue, by \( 30 \)",4,3,"Answer A Text"
76894,443,2498,"More blue, by \( 55 \)",5,5,"Answer B Text"
76894,443,2499,"More blue, by \( 35 \)",6,7,"Answer C Text"
76894,443,2500,"More yellow,
by \( 25 \)",7,9,"Answer D Text"
101851,463,4776,"What number is the arrow pointing to?",1,1,"Question Text"
101851,463,4777,"Number line from 100 to 200 with an arrow pointing to the value 145",2,2,"Question Image"
101851,463,4778,"\( 145 \)",3,3,"Answer A Text"
101851,463,4779,"\( 140 \)",4,5,"Answer B Text"
101851,463,4780,"\( 149 \)",5,7,"Answer C Text"
101851,463,4781,"\( 148 \)",6,9,"Answer D Text"
100594,464,6882,"Which of these fractions could \(\ not \) be placed between the fractions marked on the number line?",1,1,"Question Text"
100594,464,6883,"A numberline showing 2 dashes. The left hand dash is labelled as 1/5 and the right hand dash is labelled as 3/5",2,2,"Question Image"
100594,464,6884,"\( \frac{2}{5} \)",3,3,"Answer A Text"
100594,464,6885,"\( \frac{75}{150} \)",4,5,"Answer B Text"
100594,464,6886,"\( \frac{1}{4} \)",5,7,"Answer C Text"
100594,464,6887,"\( \frac{10}{15} \)",6,9,"Answer D Text"
107895,469,11770,"What is the mode of the following numbers?
\(
0.4, \quad \frac{1}{4}, \quad 2.5, \quad \frac{2}{5}
\)",1,1,"Question Text"
107895,469,11771,"\( \frac{1}{4} \)",2,3,"Answer A Text"
107895,469,11772,"\( \frac{2}{5} \)",3,5,"Answer B Text"
107895,469,11773,"\( 0.4 \) and \( 2.5 \)",4,7,"Answer C Text"
107895,469,11774,"There is no mode",5,9,"Answer D Text"
107915,472,12198,"What is the range of the following numbers?
\[
0.31,0.30,0.331
\]",1,1,"Question Text"
107915,472,12199,"\( 0.021 \)",2,3,"Answer A Text"
107915,472,12200,"\( 0.301 \)",3,5,"Answer B Text"
107915,472,12201,"\( 0.031 \)",4,7,"Answer C Text"
107915,472,12202,"\( 0.21 \)",5,9,"Answer D Text"
77775,477,18871,"Expand and simplify:
\[
4(2 x+1)-(5 x-9)
\]",1,1,"Question Text"
77775,477,18872,"\( 3 x-5 \)",2,3,"Answer A Text"
77775,477,18873,"\( 3 x+13 \)",3,5,"Answer B Text"
77775,477,18874,"\( 13 x-5 \)",4,7,"Answer C Text"
77775,477,18875,"\( 13 x+13 \)",5,9,"Answer D Text"
