"InterventionId","TutorId","QuestionId_DQ","MessageSequence","IsTutor","MessageString","TalkMovePrediction"
23,102,147113,12,1,"So did it work for 3 and 5?","<Keep Together>"
23,-1,147113,13,0,"yes","<NA>"
23,102,147113,14,1,"Great, so it works at least sometimes...","<None>"
23,-1,147113,15,0,"is it b","<NA>"
23,102,147113,16,1,"Can you prove it?","<Press for Reasoning>"
23,-1,147113,17,0,"no","<NA>"
23,102,147113,18,1,"Is there an example where it doesn't work?","<Press for Accuracy>"
23,-1,147113,19,0,"i dont know","<NA>"
23,-1,147113,20,0,"d","<NA>"
23,102,147113,21,1,"Let's try... 4 and 6. What's the lowest common multiple?","<Press for Accuracy>"
23,-1,147113,22,0,"its d","<NA>"
23,-1,147113,23,0,"24","<NA>"
23,-1,147113,24,0,"12","<NA>"
23,102,147113,25,1,"Yeah 12! Is that the same as multiplying 4 x 6?","<Keep Together>"
23,-1,147113,26,0,"is it d","<NA>"
23,102,147113,27,1,"Well it worked for 3 and 5, but not 4 and 6","<None>"
23,102,147113,28,1,"So that's sometimes, right?","<Keep Together>"
23,-1,147113,29,0,"so b","<NA>"
23,102,147113,30,1,"Yep. I just wanted you to see why!","<None>"
23,-1,147113,31,0,"is it b then]","<NA>"
23,102,147113,32,1,"Yes, B","<Revoicing>"
23,102,147113,33,1,"Bye!","<None>"
23,-1,147113,34,0,"bye","<NA>"
29,283,108130,1,1,"Hi Liam!","<None>"
29,-1,108130,2,0,"Hi again","<NA>"
29,283,108130,3,1,"So, the range is...","<None>"
29,283,108130,4,1,"the largest value minus the smallest value","<None>"
29,283,108130,5,1,"But we need to think what the data is about...","<None>"
29,283,108130,6,1,"it's about number of TVs","<None>"
29,283,108130,7,1,"So, we need to look at the highest and lowest number of TVs","<None>"
29,-1,108130,8,0,"Would that be 4 and 2?","<NA>"
29,-1,108130,9,0,"Wait 0","<NA>"
29,283,108130,10,1,"Have another look...","<None>"
29,283,108130,11,1,"At least one person has to have given that answer...","<None>"
29,283,108130,12,1,"otherwise that number of TVs doesn't exist in this survey really...","<None>"
29,-1,108130,13,0,"So 4 and 2?","<NA>"
29,283,108130,14,1,"4 is correct...","<Revoicing>"
29,283,108130,15,1,"but some people have 1 Tv... can you see those 7 people who have 1 TV?
","<Keep Together>"
29,-1,108130,16,0,"Yes","<NA>"
29,283,108130,17,1,"Great...","<None>"
29,283,108130,18,1,"so the largest number of TVs is 4","<None>"
29,283,108130,19,1,"And the lowest number of TVs that anyone has is 1.","<None>"
29,283,108130,20,1,"So, the range = 4-1","<None>"
29,283,108130,21,1,"= ?","<Press for Accuracy>"
29,-1,108130,22,0,"Ohh 3","<NA>"
29,283,108130,23,1,"Great!","<None>"
29,283,108130,24,1,"Does this all make sense?","<Keep Together>"
29,-1,108130,25,0,"Yes thankyou","<NA>"
29,283,108130,26,1,"Great!","<None>"
29,283,108130,27,1,"Well done! Bye for now 👋","<None>"
33,17,104615,1,1,"Hi again Zainab  😁👋","<None>"
33,17,104615,2,1,"How can I help?!
","<Keep Together>"
33,-1,104615,3,0,"I don't know how to work out this question.","<NA>"
33,17,104615,4,1,"So for this one we need to think about the 0.02 times table values near 3.153 😃","<None>"
33,17,104615,5,1,"Can you think about what value would be in the 0.02 times table near 3.153.. Any ideas? 💡","<Press for Accuracy>"
33,-1,104615,6,0,"What is the 0.02 times table value?","<NA>"
33,17,104615,7,1,"I'll give you the value below, see if you can find the value above..","<None>"
33,17,104615,8,1,"So the value in the 0.02 times table below 3.153 would be 3.14","<None>"
33,17,104615,9,1,"Does that make sense? 😊👍","<Keep Together>"
33,-1,104615,10,0,"I think so","<NA>"
33,17,104615,11,1,"So what would the value above 3.153 be in the 0.02 times table? 🧠","<Press for Accuracy>"
33,17,104615,12,1,"3.1 to 3.12 to 3.14 to ...","<Press for Accuracy>"
33,-1,104615,13,0,"3.16","<NA>"
33,17,104615,14,1,"Nailed it 🔨🔨🔨","<None>"
33,17,104615,15,1,"So now we need to decide if 3.153 is closer to 3.14 or 3.16","<Press for Accuracy>"
33,17,104615,16,1,"Can you work that out? 😃","<Press for Accuracy>"
33,-1,104615,17,0,"3.16 ia closer","<NA>"
33,17,104615,18,1,"Exactly so that's your answer ✅✅✅","<None>"
33,17,104615,19,1,"3.153 rounded to the nearest 0.02 is 3.16 😁😁😁","<Revoicing>"
33,17,104615,20,1,"WELL DONE!!! 🏆😊✅👌👀🧠
","<None>"
33,-1,104615,21,0,"Thank you! This really helped. 😁","<NA>"
33,17,104615,22,1,"So pleased to hear 😃👍","<None>"
33,17,104615,23,1,"Ready to go back to eedi? 🤖","<None>"
33,-1,104615,24,0,"Yes.","<NA>"
33,17,104615,25,1,"Of course! Nice one for requesting help 😊👍 bye for now 👋👋👋","<None>"
42,624,89558,1,1,"Hi How can I help?","<Keep Together>"
42,-1,89558,2,0,"I’m a bit confused with this question","<NA>"
42,624,89558,3,1,"Ok, let's take a look together!","<None>"
42,624,89558,4,1,"So, what is p x - q?","<Press for Accuracy>"
42,-1,89558,5,0,"Um well I know it would be a negative but I don’t really know the answer","<NA>"
42,624,89558,6,1,"That's what we need really, so it would be -pq","<Revoicing>"
42,624,89558,7,1,"As if we multiply two letters we write them next to each other","<None>"
42,-1,89558,8,0,"Ok","<NA>"
42,624,89558,9,1,"Does -p x q give us the same answer?","<Keep Together>"
42,-1,89558,10,0,"Yes","<NA>"
42,624,89558,11,1,"Great, so statement 1 is true","<None>"
42,-1,89558,12,0,"Ok","<NA>"
42,624,89558,13,1,"Now statement 2","<None>"
42,-1,89558,14,0,"I don’t think it works","<NA>"
42,624,89558,15,1,"I don't think it does either, as the left one stays negative, but the right one is positive","<Revoicing>"
42,624,89558,16,1,"So which answer do you think we need?","<Press for Accuracy>"
42,-1,89558,17,0,"A","<NA>"
42,624,89558,18,1,"I agree!","<None>"
42,624,89558,19,1,"Well done Sophia :) ","<None>"
42,-1,89558,20,0,"Ok thank you","<NA>"
59,1430,103042,1,1,"Hey! How can I help? 😃","<Keep Together>"
59,-1,103042,2,0,"I don't know my prime numbers past 40","<NA>"
59,1430,103042,3,1,"No worries, what do you know about prime numbers?","<Press for Accuracy>"
59,-1,103042,4,0,"They can only be divided by one and Itself","<NA>"
59,1430,103042,5,1,"perfect!","<None>"
59,1430,103042,6,1,"So looking at the answer options, is there any that you know can be divided by something other than 1 or itself?","<Press for Accuracy>"
59,1430,103042,7,1,"Is there one that you could rule out?","<Press for Accuracy>"
59,-1,103042,8,0,"103","<NA>"
59,1430,103042,9,1,"What can you divided 103 by to get a whole number answer?","<Press for Accuracy>"
59,1430,103042,10,1,"*divide","<None>"
59,-1,103042,11,0,"6","<NA>"
59,1430,103042,12,1,"103/6 = 17.1666...","<None>"
59,1430,103042,13,1,"103 is actually prime.","<None>"
59,1430,103042,14,1,"I was thinking we could rule out 105 as it ends in a 5","<None>"
59,-1,103042,15,0,"Yes","<NA>"
59,1430,103042,16,1,"Why can we rule it out as it ends in a 5?","<Press for Reasoning>"
59,-1,103042,17,0,"Because 5 is in the 5 times tables","<NA>"
59,1430,103042,18,1,"Brilliant!","<None>"
59,1430,103042,19,1,"What about 101?","<Press for Accuracy>"
59,-1,103042,20,0,"101 is the answer to the question","<NA>"
59,1430,103042,21,1,"It is, fantastic!","<None>"
59,1430,103042,22,1,"Happy to go back to the lesson?","<Keep Together>"
59,-1,103042,23,0,"Yes","<NA>"
59,1430,103042,24,1,"😁👋","<None>"
69,1,106909,1,1,"Hello :)","<None>"
69,-1,106909,2,0,"hi im really confused on this question","<NA>"
69,-1,106909,3,0,"an you help me please","<NA>"
69,1,106909,4,1,"of course!","<None>"
69,-1,106909,5,0,"ok","<NA>"
69,1,106909,6,1,"So we need to work out -2m > 12 first, how can we do that? :)","<Press for Accuracy>"
69,-1,106909,7,0,"find out what m is","<NA>"
69,1,106909,8,1,"Exactly, so m is being multiplied by -2","<Revoicing>"
69,1,106909,9,1,"So we need to do the opposite, which is?","<Press for Accuracy>"
69,-1,106909,10,0,"divide by -2","<NA>"
69,1,106909,11,1,"Super :) ","<None>"
69,1,106909,12,1,"What does that give us ? :0","<Press for Accuracy>"
69,-1,106909,13,0,"thank you what would i do next","<NA>"
69,-1,106909,14,0,"would it be -1","<NA>"
69,1,106909,15,1,"Not quite, we need to do -6 divided by -2","<Revoicing>"
69,-1,106909,16,0,"3","<NA>"
69,1,106909,17,1,"Super :","<None>"
69,1,106909,18,1,":)","<None>"
69,-1,106909,19,0,":)","<NA>"
69,1,106909,20,1,"Now there's one other thing we need to do when we divide by negatives if we use inequalities, we have to flip the inequality sign around :)","<None>"
69,-1,106909,21,0,"ok","<NA>"
69,1,106909,22,1,"So what does that mean our inequality will be? :)","<Press for Accuracy>"
69,-1,106909,23,0,"would it be leos","<NA>"
69,1,106909,24,1,"Yep it is Leo's that we're doing :)","<Revoicing>"
69,-1,106909,25,0,"sorry im still confused on how i know whether it is sophies or leoms or sophies and leos","<NA>"
69,1,106909,26,1,"Ok, so Leo and Sophie both have different questions","<Revoicing>"
69,-1,106909,27,0,"oh wait i think i know","<NA>"
69,-1,106909,28,0,"is the answer B","<NA>"
69,1,106909,29,1,"It is :)","<None>"
69,-1,106909,30,0,"thank you for your help claire","<NA>"
69,1,106909,31,1,"I'll let you pop that in. Please take the lesson offered after you put in your answer, it will really help 😊","<None>"
69,1,106909,32,1,"You're welcome! :)","<None>"
77,-1,131463,1,0,"what is the answer","<NA>"
77,102,131463,2,1,"Hi! Can you see the feedback tells you which calculation to use?","<Keep Together>"
77,-1,131463,3,0,"i dont get it","<NA>"
77,-1,131463,4,0,"what feedback","<NA>"
77,-1,131463,5,0,"???#","<NA>"
77,-1,131463,6,0,"???","<NA>"
77,-1,131463,7,0,"i did the area","<NA>"
77,-1,131463,8,0,"add all the side areas","<NA>"
77,102,131463,9,1,"D ❌ - I think you have found the surface area. Remember we multiply the length by the width by the height to find the volume of a cuboid","<Revoicing>"
77,102,131463,10,1,"This question wants the volume not the area :)","<None>"
77,-1,131463,11,0,"I know its not D","<NA>"
77,-1,131463,12,0,"oh ok","<NA>"
77,-1,131463,13,0,"what is volume is it sound","<NA>"
77,102,131463,14,1,"Volume is the space inside","<Revoicing>"
77,-1,131463,15,0,"what is the space inside please","<NA>"
77,102,131463,16,1,"Like if you filled the shape with clay, how much clay could you fit inside","<None>"
77,-1,131463,17,0,"how do you work it out","<NA>"
77,-1,131463,18,0,"on this question","<NA>"
77,102,131463,19,1,"That's what the feedback tells you :) the ones I copied, it says multiply the length by the width by the height to find the volume","<None>"
77,-1,131463,20,0,"10 X 5 is 50","<NA>"
77,102,131463,21,1,"Good, and x4?","<Press for Accuracy>"
77,-1,131463,22,0,"200","<NA>"
77,-1,131463,23,0,"so is it c","<NA>"
77,102,131463,24,1,"Great, that is correct :) Good to go?","<Keep Together>"
77,-1,131463,25,0,"bye thanks for your help","<NA>"
77,102,131463,26,1,"Bye!","<None>"
80,10,75997,1,1,"Hi again :)","<None>"
80,-1,75997,2,0,"hello srry to disturb","<NA>"
80,10,75997,3,1,"No need to apologise!","<None>"
80,-1,75997,4,0,"i need help on this question","<NA>"
80,10,75997,5,1,"You went for A, which is 12 minutes past 10","<None>"
80,10,75997,6,1,"What time does B show?","<Press for Accuracy>"
80,-1,75997,7,0,"12 minute past 50","<NA>"
80,-1,75997,8,0,"50 minutes past 12","<NA>"
80,10,75997,9,1,"Yes brilliant, 50 minutes past 12","<Revoicing>"
80,10,75997,10,1,"which is 12 minutes to 1","<None>"
80,10,75997,11,1,"Sorry 10 minutes to 1**","<None>"
80,10,75997,12,1,"Which isn't what we are looking","<None>"
80,10,75997,13,1,"how about C?","<Press for Accuracy>"
80,-1,75997,14,0,"its 12 : 50 AM","<NA>"
80,10,75997,15,1,"Excellent! so 10 to 1 again","<None>"
80,10,75997,16,1,"So it isn't A, B or C!","<None>"
80,10,75997,17,1,"How about D? :)","<Press for Accuracy>"
80,-1,75997,18,0,"is it D?","<NA>"
80,10,75997,19,1,"D shows 10 to 12 at night-time, so yes, 10 to 12 at night :)","<Revoicing>"
80,10,75997,20,1,"Super work!","<None>"
80,10,75997,21,1,"Well done ⭐⭐⭐⭐⭐","<None>"
80,10,75997,22,1,"Are you ok to return to the lesson now?","<Keep Together>"
80,-1,75997,23,0,"will i get 100  coins this time>","<NA>"
80,10,75997,24,1,"Sure thing","<None>"
85,-1,131361,1,0,"hi again...","<NA>"
85,16,131361,2,1,"Hi Julian :)
How can I help?","<Keep Together>"
85,-1,131361,3,0,"iam stuck in this question","<NA>"
85,16,131361,4,1,"No problem, let's take a lool","<None>"
85,16,131361,5,1,"*look!","<None>"
85,-1,131361,6,0,"okay","<NA>"
85,16,131361,7,1,"Do you know what 'similar shapes' are?","<Press for Accuracy>"
85,-1,131361,8,0,"yeah i guess it like shapes that have the same perimeter and area i guess","<NA>"
85,16,131361,9,1,"Great idea, but not quite!

Similar shapes have all the same angles and proportions, but they are enlargements of each other","<Revoicing>"
85,-1,131361,10,0,"oyh","<NA>"
85,16,131361,11,1,"So for example if I had a triangle with sides lengths, 1cm, 2cm, 3cm","<None>"
85,16,131361,12,1,"And another with side lengths 10cm, 20cm, 30cm","<None>"
85,-1,131361,13,0,"yes","<NA>"
85,16,131361,14,1,"As long as they also had the same angles then they will be similar. One is just 10 times bigger than the other","<None>"
85,16,131361,15,1,"So take another look at the question. Can you spot a pattern like that with any of the lengths?","<Keep Together>"
85,-1,131361,16,0,"so i am trying to think and i think its is c","<NA>"
85,-1,131361,17,0,"C","<NA>"
85,16,131361,18,1,"What's the pattern between Liam's triangles?","<Press for Accuracy>"
85,-1,131361,19,0,"both has the same angle and the have 5,5 and 6,6","<NA>"
85,-1,131361,20,0,"i gues","<NA>"
85,-1,131361,21,0,"i guess","<NA>"
85,16,131361,22,1,"Ah, all 3 sides will have to be in the same proportion, not just 2","<None>"
85,-1,131361,23,0,"oh the shape also","<NA>"
85,16,131361,24,1,"Now Liam has added 1cm to all the lengths to get from the first triangle to the second, but that doesn't keep them in proportion","<None>"
85,-1,131361,25,0,"right","<NA>"
85,16,131361,26,1,"We need to MULTIPLY  all the lengths by the same scale factor like I did in my example (x10)","<None>"
85,-1,131361,27,0,"so the answer is C right","<NA>"
85,16,131361,28,1,"Take a look at Sophie's triangle. Is there anything you can multiply the lengths of the first triangle by to get the lengths in the second triangle?","<Press for Accuracy>"
85,16,131361,29,1,"Not C - we have just shown that Liam's triangles are not similar","<Revoicing>"
85,-1,131361,30,0,"oh ok","<NA>"
85,-1,131361,31,0,"only liam is correct","<NA>"
85,16,131361,32,1,"Not quite. Liam is NOT correct, as his triangles are NOT similar","<Revoicing>"
85,16,131361,33,1,"Let's go through Sophie's together","<None>"
85,16,131361,34,1,"Her first triangle has lengths of:
4cm, 5cm, 6cm","<None>"
85,16,131361,35,1,"Her second triangle has lengths of:
2cm, 2.5cm, 3cm","<None>"
85,16,131361,36,1,"Do you notice a pattern between those 2 sets of lengths?","<Press for Accuracy>"
85,-1,131361,37,0,"yes i do","<NA>"
85,-1,131361,38,0,"now i know the answer is B","<NA>"
85,16,131361,39,1,"Super! Because in Sophie's we can multiply all the lengths in the smaller triangle by 2 to get the larger triangle","<None>"
85,16,131361,40,1,"So they are similar :)","<None>"
85,-1,131361,41,0,"YAY i guess i worked out","<NA>"
85,-1,131361,42,0,"thanks","<NA>"
85,16,131361,43,1,"It seems like this is a new topic for you so I'd recommend clicking on the ""more practice"" button when offered so that you get the help videos on this","<None>"
85,-1,131361,44,0,"okay","<NA>"
85,16,131361,45,1,"Great! Have a good day :)","<None>"
97,2488,147373,1,1,"Hi! How can I help?","<Keep Together>"
97,-1,147373,2,0,"I’m not sure on how to solve this as I find questions like this hard","<NA>"
97,2488,147373,3,1,"So if we start with m + 2. Liam says we +2m","<None>"
97,2488,147373,4,1,"what would m + 2 + 2m be?","<Press for Accuracy>"
97,-1,147373,5,0,"4m","<NA>"
97,2488,147373,6,1,"Ooh not quite","<None>"
97,2488,147373,7,1,"We could add the m and the 2m? What would that get? Remember what number is technically in front of the m by itself","<Press for Accuracy>"
97,-1,147373,8,0,"I’m not sure","<NA>"
97,2488,147373,9,1,"That's okay","<None>"
97,2488,147373,10,1,"So if we've got m that's the same as 1m","<None>"
97,2488,147373,11,1,"Are you happy with that?","<Keep Together>"
97,-1,147373,12,0,"Yes","<NA>"
97,2488,147373,13,1,"Brill so we've got 1m +2m What does that get?","<Press for Accuracy>"
97,-1,147373,14,0,"3m","<NA>"
97,2488,147373,15,1,"Perfect","<None>"
97,2488,147373,16,1,"And then we have +2 left over so it's 3m + 2. We cannot simplify that","<None>"
97,2488,147373,17,1,"So Liam is correct","<None>"
97,2488,147373,18,1,"Now to check emma","<None>"
97,2488,147373,19,1,"(m + 2) x 3 What does that equal?","<Press for Accuracy>"
97,-1,147373,20,0,"6m?","<NA>"
97,2488,147373,21,1,"Remember you can't add letters and numbers together","<None>"
97,2488,147373,22,1,"So we've got to multiply those separately. m x 3 ","<None>"
97,2488,147373,23,1,"2 x 3?","<Press for Accuracy>"
97,-1,147373,24,0,"6","<NA>"
97,2488,147373,25,1,"and then m x3?","<Press for Accuracy>"
97,-1,147373,26,0,"3m","<NA>"
97,2488,147373,27,1,"Perfect","<None>"
97,2488,147373,28,1,"3m + 6 ","<Revoicing>"
97,2488,147373,29,1,"So only Liam is correct","<None>"
97,2488,147373,30,1,"I'll leave you to put your answer in","<None>"
99,-1,89436,1,0,"hi","<NA>"
99,19,89436,2,1,"Hi this is Leo one of the tutors at Eedi","<None>"
99,19,89436,3,1,"How can I help?","<Keep Together>"
99,-1,89436,4,0,"👋 this question","<NA>"
99,19,89436,5,1,"No worries, let me just take a quick look at it 👍","<None>"
99,-1,89436,6,0,"😀this is my first time with you","<NA>"
99,-1,89436,7,0,"I know that you are a good tutor","<NA>"
99,19,89436,8,1,"So, we are start at 4 and go back 3 spaces, what number do we get to?","<Press for Accuracy>"
99,-1,89436,9,0,"1","<NA>"
99,19,89436,10,1,"👍","<None>"
99,19,89436,11,1,"How do we get from 1 to -5?","<Press for Accuracy>"
99,-1,89436,12,0,"and we minus 4 from it ?","<NA>"
99,19,89436,13,1,"Not quite, if we are at 1 and minus 4 we would get to -3, we want to get to -5","<Revoicing>"
99,19,89436,14,1,"From 1 we could minus 1 and that would get us to 0","<None>"
99,19,89436,15,1,"How many would we have to take away to get from 0 to -5?","<Press for Accuracy>"
99,-1,89436,16,0,"5 steps backwards","<NA>"
99,19,89436,17,1,"👍","<None>"
99,-1,89436,18,0,"so it is c","<NA>"
99,19,89436,19,1,"So altogether how many steps backwards do we need to take to get from 1 to -5?","<Press for Accuracy>"
99,-1,89436,20,0,"4","<NA>"
99,-1,89436,21,0,"thank you😄","<NA>"
99,19,89436,22,1,"Not quite, going 4 back only gets us to -3 because we would go from 1 to 0 then to -1, -2 and -3","<Revoicing>"
99,19,89436,23,1,"We want to get to -5","<None>"
99,-1,89436,24,0,"5 steps backwards","<NA>"
99,-1,89436,25,0,"i mean b is the answer","<NA>"
99,19,89436,26,1,"Perfect, b would be the answer","<Revoicing>"
99,19,89436,27,1,"We would need to go 6 back in total","<None>"
99,19,89436,28,1,"I will pass you back to the bot so you can type in  the answer","<None>"
99,-1,89436,29,0,"bye👋👋","<NA>"
99,-1,89436,30,0,"😘","<NA>"
99,19,89436,31,1,"Don't forget to take the lesson if you would like some more practice, keep up the good work","<None>"
100,-1,147255,1,0,"Hi Lila","<NA>"
100,17,147255,2,1,"Hi Cassandra 😁👋","<None>"
100,17,147255,3,1,"How can I help?!
","<Keep Together>"
100,-1,147255,4,0,"i don’t understand the question or the graph","<NA>"
100,17,147255,5,1,"OK so the graph gives the position and value of the term 😁👌","<None>"
100,17,147255,6,1,"So in position 1 what is the value of the term? 👀","<Press for Accuracy>"
100,-1,147255,7,0,"4?","<NA>"
100,17,147255,8,1,"Brilliant so the first term in the sequence needs to have 4 things in it 😃👌","<Revoicing>"
100,17,147255,9,1,"What about term 2?","<Press for Accuracy>"
100,-1,147255,10,0,"7","<NA>"
100,17,147255,11,1,"FANTASTIC WORKING OUT 😃🏆👍💥⭐😊😁✅
","<None>"
100,17,147255,12,1,"So can you see a sequence from A, B, C and D that has 4 in its first term and 7 in the second?!","<Keep Together>"
100,-1,147255,13,0,"No","<NA>"
100,17,147255,14,1,"Top tip, count the sticks...","<None>"
100,-1,147255,15,0,"Ohhh","<NA>"
100,-1,147255,16,0,"C","<NA>"
100,-1,147255,17,0,"??","<NA>"
100,17,147255,18,1,"Nailed it 🔨🔨🔨","<None>"
100,17,147255,19,1,"
WELL DONE!!! 🏆😊✅👌👀🧠😁👌
","<None>"
100,17,147255,20,1,"Does this question make more sense now? 😊
","<Keep Together>"
100,-1,147255,21,0,"Yeah 😊😊","<NA>"
100,17,147255,22,1,"Awesome to hear! 👂","<None>"
100,17,147255,23,1,"Ready to go back to eedi? 🤖
","<None>"
100,-1,147255,24,0,"Yeah x","<NA>"
100,17,147255,25,1,"Excellent ✅","<None>"
100,17,147255,26,1,"Bye for now 👋👋👋
","<None>"
109,19,101404,1,1,"HI this is Alex one of the tutors at Eedi","<None>"
109,19,101404,2,1,"How can I help?","<None>"
109,-1,101404,3,0,"every qestion makes no sense","<NA>"
109,-1,101404,4,0,"*question","<NA>"
109,19,101404,5,1,"Did you watch the teach videos?","<None>"
109,-1,101404,6,0,"yes :p","<NA>"
109,19,101404,7,1,"Good","<None>"
109,19,101404,8,1,"How do I simplify the ratio 4:14?","<Press for Accuracy>"
109,-1,101404,9,0,"2:7","<NA>"
109,-1,101404,10,0,"?","<NA>"
109,19,101404,11,1,"👍","<None>"
109,19,101404,12,1,"Is 2:7 equivalent to 1:3.5?","<Keep Together>"
109,-1,101404,13,0,"no?","<NA>"
109,19,101404,14,1,"How do we get from 2 to 1 using multiplication/ division?","<Press for Accuracy>"
109,-1,101404,15,0,"divide by 2?","<NA>"
109,19,101404,16,1,"👍","<None>"
109,19,101404,17,1,"What is 7 divided by 2?","<Press for Accuracy>"
109,-1,101404,18,0,"2.5","<NA>"
109,19,101404,19,1,"Not quite","<None>"
109,19,101404,20,1,"6 divided by 2 is three, so it must be bigger than 3","<Keep Together>"
109,-1,101404,21,0,"3.5","<NA>"
109,19,101404,22,1,"Perfect","<None>"
